DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW,,,
Feb-10,$147.86,$160.00,$155.00,$165.00,$165.00,$135.00,$120.00,$135.00,,,
Jan-10,$130.71,$130.00,$125.00,$135.00,$135.00,$135.00,$120.00,$135.00,,,
Dec-09,$100.71,$100.00,$95.00,$105.00,$105.00,$105.00,$90.00,$105.00,,,
Nov-09,$91.43,$80.00,$75.00,$85.00,$85.00,$105.00,$105.00,$105.00,,,
Oct-09,$91.43,$85.00,$85.00,$85.00,$85.00,$100.00,$100.00,$100.00,,,
Sep-09,$97.14,$95.00,$95.00,$95.00,$95.00,$100.00,$100.00,$100.00,,,
Aug-09,$92.14,$90.00,$90.00,$90.00,$90.00,$95.00,$95.00,$95.00,,,
Jul-09,$80.71,$85.00,$85.00,$85.00,$85.00,$75.00,$75.00,$75.00,,,
Jun-09,$68.57,$65.00,$60.00,$65.00,$65.00,$75.00,$75.00,$75.00,,,
May-09,$56.43,$50.00,$45.00,$45.00,$45.00,$70.00,$70.00,$70.00,,,
Apr-09,$48.57,$40.00,$35.00,$35.00,$35.00,$65.00,$65.00,$65.00,,,
Mar-09,$59.29,$55.00,$55.00,$55.00,$55.00,$65.00,$65.00,$65.00,,,
Feb-09,$43.57,$35.00,$35.00,$35.00,$35.00,$55.00,$55.00,$55.00,,,
Jan-09,$33.57,$25.00,$25.00,$25.00,$25.00,$45.00,$45.00,$45.00,,,
Dec-08,$36.43,$30.00,$30.00,$30.00,$30.00,$45.00,$45.00,$45.00,,,
Nov-08,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,$50.00,,,
Oct-08,$101.43,$90.00,$85.00,$95.00,$95.00,$115.00,$115.00,$115.00,,,
Sep-08,$114.29,$105.00,$85.00,$105.00,$115.00,$130.00,$130.00,$130.00,,,
Aug-08,$126.43,$125.00,$105.00,$115.00,$120.00,$140.00,$140.00,$140.00,,,
Jul-08,$129.29,$115.00,$115.00,$125.00,$130.00,$140.00,$140.00,$140.00,,,
Jun-08,$134.29,$125.00,$125.00,$125.00,$130.00,$145.00,$145.00,$145.00,,,
May-08,$145.00,$140.00,$135.00,$135.00,$140.00,$155.00,$155.00,$155.00,,,
Apr-08,$156.43,$160.00,$145.00,$145.00,$150.00,$165.00,$165.00,$165.00,,,
Mar-08,$155.00,$150.00,$135.00,$135.00,$140.00,$175.00,$175.00,$175.00,,,
Feb-08,$144.29,$135.00,$125.00,$125.00,$130.00,$165.00,$165.00,$165.00,,,
Jan-08,$135.00,$135.00,$115.00,$125.00,$120.00,$150.00,$150.00,$150.00,,,
Dec-07,$135.00,$135.00,$115.00,$125.00,$120.00,$150.00,$150.00,$150.00,,,
Nov-07,$141.43,$135.00,$125.00,$135.00,$130.00,$155.00,$155.00,$155.00,,,
Oct-07,$152.14,$135.00,$145.00,$155.00,$150.00,$160.00,$160.00,$160.00,,,
Sep-07,$147.86,$135.00,$145.00,$155.00,$150.00,$150.00,$150.00,$150.00,,,
Aug-07,$147.86,$135.00,$145.00,$155.00,$150.00,$150.00,$150.00,$150.00,,,
Jul-07,$150.00,$135.00,$145.00,$155.00,$150.00,$155.00,$155.00,$155.00,,,
Jun-07,$134.29,$125.00,$135.00,$135.00,$125.00,$140.00,$140.00,$140.00,,,
May-07,$134.29,$125.00,$135.00,$135.00,$125.00,$140.00,$140.00,$140.00,,,
Apr-07,$147.86,$140.00,$135.00,$145.00,$135.00,$160.00,$160.00,$160.00,,,
Mar-07,$167.14,$170.00,$145.00,$170.00,$145.00,$180.00,$180.00,$180.00,,,
Feb-07,$135.71,$110.00,$115.00,$125.00,$120.00,$160.00,$160.00,$160.00,,,
Jan-07,$117.14,$90.00,$95.00,$105.00,$95.00,$145.00,$145.00,$145.00,,,
Dec-06,$107.14,$80.00,$85.00,$95.00,$85.00,$135.00,$135.00,$135.00,,,
Nov-06,$102.86,$80.00,$85.00,$95.00,$85.00,$125.00,$125.00,$125.00,,,
Oct-06,$108.57,$90.00,$95.00,$105.00,$95.00,$125.00,$125.00,$125.00,,,
Sep-06,$114.29,$95.00,$105.00,$105.00,$105.00,$130.00,$130.00,$130.00,,,
Aug-06,$122.14,$105.00,$115.00,$115.00,$115.00,$135.00,$135.00,$135.00,,,
Jul-06,$117.86,$105.00,$115.00,$115.00,$115.00,$125.00,$125.00,$125.00,,,
Jun-06,$105.71,$95.00,$105.00,$105.00,$105.00,$110.00,$110.00,$110.00,,,
May-06,$100.00,$85.00,$95.00,$95.00,$95.00,$110.00,$110.00,$110.00,,,
Apr-06,$92.14,$75.00,$85.00,$85.00,$85.00,$105.00,$105.00,$105.00,,,
Mar-06,$88.57,$70.00,$75.00,$75.00,$85.00,$105.00,$105.00,$105.00,,,
Feb-06,$85.71,$60.00,$65.00,$75.00,$85.00,$105.00,$105.00,$105.00,,,
Jan-06,$84.29,$60.00,$65.00,$75.00,$75.00,$105.00,$105.00,$105.00,,,
Dec-05,$85.71,$70.00,$65.00,$75.00,$75.00,$105.00,$105.00,$105.00,,,
Nov-05,$85.71,$70.00,$65.00,$75.00,$75.00,$105.00,$105.00,$105.00,,,
Oct-05,$92.86,$75.00,$75.00,$90.00,$80.00,$110.00,$110.00,$110.00,,,
Sep-05,$98.57,$85.00,$85.00,$100.00,$90.00,$110.00,$110.00,$110.00,,,
Aug-05,$105.71,$95.00,$85.00,$100.00,$100.00,$120.00,$120.00,$120.00,,,
Jul-05,$105.71,$95.00,$85.00,$100.00,$100.00,$120.00,$120.00,$120.00,,,
Jun-05,$105.71,$95.00,$85.00,$100.00,$100.00,$120.00,$120.00,$120.00,,,
May-05,$105.71,$95.00,$85.00,$100.00,$100.00,$120.00,$120.00,$120.00,,,
Apr-05,$105.71,$95.00,$85.00,$100.00,$100.00,$120.00,$120.00,$120.00,,,
Mar-05,$103.57,$95.00,$85.00,$100.00,$100.00,$115.00,$115.00,$115.00,,,
Feb-05,$102.14,$85.00,$85.00,$100.00,$100.00,$115.00,$115.00,$115.00,,,
Jan-05,$105.71,$95.00,$95.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Dec-04,$105.71,$95.00,$95.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Nov-04,$105.71,$95.00,$95.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Oct-04,$105.71,$95.00,$95.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Sep-04,$111.43,$100.00,$100.00,$110.00,$110.00,$120.00,$120.00,$120.00,,,
Aug-04,$112.86,$100.00,$110.00,$110.00,$110.00,$120.00,$120.00,$120.00,,,
Jul-04,$122.86,$110.00,$130.00,$130.00,$130.00,$120.00,$120.00,$120.00,,,
Jun-04,$118.57,$110.00,$120.00,$120.00,$120.00,$120.00,$120.00,$120.00,,,
May-04,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Apr-04,$112.86,$115.00,$115.00,$115.00,$115.00,$110.00,$110.00,$110.00,,,
Mar-04,$112.86,$115.00,$115.00,$115.00,$115.00,$110.00,$110.00,$110.00,,,
Feb-04,$93.57,$100.00,$90.00,$90.00,$90.00,$95.00,$95.00,$95.00,,,
Jan-04,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,,,
Dec-03,$77.14,$75.00,$75.00,$75.00,$75.00,$80.00,$80.00,$80.00,,,
Nov-03,$76.43,$75.00,$75.00,$75.00,$70.00,$80.00,$80.00,$80.00,,,
Oct-03,$76.43,$75.00,$75.00,$75.00,$70.00,$80.00,$80.00,$80.00,,,
Sep-03,$76.43,$75.00,$75.00,$75.00,$70.00,$80.00,$80.00,$80.00,,,
Aug-03,$73.57,$75.00,$75.00,$75.00,$80.00,$70.00,$70.00,$70.00,,,
Jul-03,$78.57,$80.00,$80.00,$80.00,$85.00,$75.00,$75.00,$75.00,,,
Jun-03,$88.57,$90.00,$90.00,$90.00,$95.00,$85.00,$85.00,$85.00,,,
May-03,$88.57,$90.00,$90.00,$90.00,$95.00,$85.00,$85.00,$85.00,,,
Apr-03,$87.14,$80.00,$80.00,$80.00,$85.00,$95.00,$95.00,$95.00,,,
Mar-03,$84.29,$75.00,$75.00,$75.00,$80.00,$95.00,$95.00,$95.00,,,
Feb-03,$70.00,$65.00,$65.00,$65.00,$70.00,$75.00,$75.00,$75.00,,,
Jan-03,$70.00,$65.00,$65.00,$65.00,$70.00,$75.00,$75.00,$75.00,,,
Dec-02,$70.00,$65.00,$65.00,$65.00,$70.00,$75.00,$75.00,$75.00,,,
Nov-02,$70.00,$65.00,$65.00,$65.00,$70.00,$75.00,$75.00,$75.00,,,
Oct-02,$75.71,$70.00,$70.00,$70.00,$80.00,$80.00,$80.00,$80.00, ,,
Sep-02,$95.71,$90.00,$90.00,$90.00,$100.00,$100.00,$100.00,$100.00,,,
Aug-02,$135.71,$130.00,$130.00,$130.00,$140.00,$140.00,$140.00,$140.00,,,
Jul-02,$155.00,$150.00,$150.00,$150.00,$155.00,$160.00,$160.00,$160.00,,,
Jun-02,$117.14,$105.00,$105.00,$105.00,$115.00,$130.00,$130.00,$130.00,,,
May-02,$82.14,$70.00,$70.00,$70.00,$80.00,$95.00,$95.00,$95.00,,,
Apr-02,$62.14,$50.00,$50.00,$50.00,$60.00,$75.00,$75.00,$75.00,,,
